# generated by scripts/generate_meta_columns_catalog.py with PYTHONHASHSEED=0
source	universe	gebrochen-rational-universum.csv	febff7430b3c1102384929537cfd5767c4bbcb4665eff514dc563e731824ce3f	47
fraction	universe	0	3	4
fraction	universe	1	3	2
fraction	universe	2	3	8
fraction	universe	3	5	2
fraction	universe	4	5	4
fraction	universe	5	5	8
fraction	universe	6	7	2
fraction	universe	7	7	4
fraction	universe	8	7	8
fraction	universe	9	17	16
fraction	universe	10	19	16
fraction	universe	11	6	7
fraction	universe	12	6	5
fraction	universe	13	7	10
fraction	universe	14	5	18
fraction	universe	15	7	9
fraction	universe	16	5	7
fraction	universe	17	12	7
fraction	universe	18	17	19
fraction	universe	19	2	3
fraction	universe	20	5	3
fraction	universe	21	7	6
fraction	universe	22	8	3
fraction	universe	23	2	5
fraction	universe	24	7	5
fraction	universe	25	9	10
fraction	universe	26	16	17
fraction	universe	27	4	7
fraction	universe	28	6	17
fraction	universe	29	3	7
fraction	universe	30	10	7
fraction	universe	31	3	5
fraction	universe	32	8	5
fraction	universe	33	7	12
fraction	universe	34	4	3
fraction	universe	35	5	6
fraction	universe	36	7	3
fraction	universe	37	17	6
fraction	universe	38	2	7
fraction	universe	39	9	7
fraction	universe	40	2	9
fraction	universe	41	11	9
fraction	universe	42	4	5
fraction	universe	43	8	7
fraction	universe	44	10	17
fraction	universe	45	10	9
fraction	universe	46	5	17
source	galaxy	gebrochen-rational-galaxie.csv	062d4138d2f5c92c5377a27f1b11d2d090fea16807009845d3f63341cccfd033	40
fraction	galaxy	0	3	4
fraction	galaxy	1	3	2
fraction	galaxy	2	3	8
fraction	galaxy	3	5	2
fraction	galaxy	4	5	4
fraction	galaxy	5	5	8
fraction	galaxy	6	7	2
fraction	galaxy	7	7	4
fraction	galaxy	8	7	8
fraction	galaxy	9	9	2
fraction	galaxy	10	9	4
fraction	galaxy	11	20	21
fraction	galaxy	12	6	7
fraction	galaxy	13	6	5
fraction	galaxy	14	7	10
fraction	galaxy	15	5	7
fraction	galaxy	16	2	3
fraction	galaxy	17	5	3
fraction	galaxy	18	7	6
fraction	galaxy	19	8	3
fraction	galaxy	20	2	5
fraction	galaxy	21	7	5
fraction	galaxy	22	4	7
fraction	galaxy	23	6	17
fraction	galaxy	24	4	9
fraction	galaxy	25	3	7
fraction	galaxy	26	10	7
fraction	galaxy	27	3	5
fraction	galaxy	28	8	5
fraction	galaxy	29	4	3
fraction	galaxy	30	5	6
fraction	galaxy	31	7	3
fraction	galaxy	32	10	3
fraction	galaxy	33	17	6
fraction	galaxy	34	2	7
fraction	galaxy	35	2	9
fraction	galaxy	36	3	10
fraction	galaxy	37	4	5
fraction	galaxy	38	21	20
fraction	galaxy	39	8	7
combination	UniUni	stern	mul	0	4	5	5	2
combination	UniUni	stern	mul	1	3	4	8	3
combination	UniUni	stern	mul	2	12	7	7	6
combination	UniUni	stern	mul	3	7	3	3	7
combination	UniUni	stern	mul	4	5	2	8	5
combination	UniUni	stern	mul	5	12	7	7	2
combination	UniUni	stern	mul	6	5	4	8	5
combination	UniUni	stern	mul	7	5	3	6	5
combination	UniUni	stern	mul	8	7	3	9	7
combination	UniUni	stern	mul	9	7	2	6	7
combination	UniUni	stern	mul	10	4	3	3	2
combination	UniUni	stern	mul	11	6	5	5	3
combination	UniUni	stern	mul	12	9	7	7	3
combination	UniUni	stern	mul	13	7	2	4	7
combination	UniUni	stern	mul	14	5	3	3	5
combination	UniUni	stern	mul	15	7	8	8	7
combination	UniUni	stern	mul	16	7	2	2	7
combination	UniUni	stern	mul	17	6	7	7	6
combination	UniUni	stern	mul	18	10	7	7	10
combination	UniUni	stern	mul	19	2	3	3	2
combination	UniUni	stern	mul	20	5	2	6	5
combination	UniUni	stern	mul	21	8	5	5	4
combination	UniUni	stern	mul	22	3	8	8	3
combination	UniUni	stern	mul	23	3	7	7	3
combination	UniUni	stern	mul	24	7	2	12	7
combination	UniUni	stern	mul	25	17	6	6	17
combination	UniUni	stern	mul	26	7	3	6	7
combination	UniUni	stern	mul	27	6	5	5	6
combination	UniUni	stern	mul	28	7	2	10	7
combination	UniUni	stern	mul	29	6	7	7	2
combination	UniUni	stern	mul	30	7	2	8	7
combination	UniUni	stern	mul	31	3	4	4	3
combination	UniUni	stern	mul	32	5	2	2	5
combination	UniUni	stern	mul	33	4	3	3	4
combination	UniUni	stern	mul	34	7	3	12	7
combination	UniUni	stern	mul	35	7	4	8	7
combination	UniUni	stern	mul	36	8	3	3	8
combination	UniUni	stern	mul	37	8	3	3	4
combination	UniUni	stern	mul	38	16	17	17	16
combination	UniUni	stern	mul	39	3	2	2	3
combination	UniUni	stern	mul	40	9	10	10	9
combination	UniUni	stern	mul	41	8	5	5	8
combination	UniUni	stern	mul	42	8	7	7	8
combination	UniUni	stern	mul	43	9	7	7	9
combination	UniUni	stern	mul	44	6	7	7	3
combination	UniUni	stern	mul	45	6	5	5	2
combination	UniUni	stern	mul	46	3	2	8	3
combination	UniUni	stern	mul	47	8	5	5	2
combination	UniUni	stern	mul	48	2	7	7	2
combination	UniUni	stern	mul	49	5	8	8	5
combination	UniUni	stern	mul	50	10	7	7	5
combination	UniUni	stern	mul	51	4	5	5	4
combination	UniUni	stern	mul	52	12	7	7	12
combination	UniUni	stern	mul	53	6	17	17	6
combination	UniUni	stern	mul	54	5	2	4	5
combination	UniUni	stern	mul	55	5	4	4	5
combination	UniUni	stern	mul	56	5	7	7	5
combination	UniUni	stern	mul	57	7	10	10	7
combination	UniUni	stern	mul	58	8	3	3	2
combination	UniUni	stern	mul	59	17	16	16	17
combination	UniUni	stern	mul	60	7	9	9	7
combination	UniUni	stern	mul	61	10	7	7	2
combination	UniUni	stern	mul	62	4	7	7	4
combination	UniUni	stern	mul	63	7	4	4	7
combination	UniUni	stern	mul	64	8	7	7	4
combination	UniUni	stern	mul	65	7	6	6	7
combination	UniUni	stern	mul	66	12	7	7	3
combination	UniUni	stern	mul	67	7	5	10	7
combination	UniUni	stern	mul	68	3	5	5	3
combination	UniUni	stern	mul	69	3	2	4	3
combination	UniUni	stern	mul	70	7	4	12	7
combination	UniUni	stern	mul	71	10	9	9	10
combination	UniUni	stern	mul	72	5	6	6	5
combination	UniUni	stern	mul	73	7	6	12	7
combination	UniUni	stern	mul	74	12	7	7	4
combination	UniUni	stern	mul	75	4	7	7	2
combination	UniUni	stern	mul	76	8	7	7	2
combination	UniUni	stern	mul	77	2	5	5	2
combination	UniUni	stern	mul	78	7	12	12	7
combination	UniUni	stern	mul	79	7	5	5	7
combination	UniUni	gleichf	mul	0	5	6	2	5
combination	UniUni	gleichf	mul	1	2	9	9	10
combination	UniUni	gleichf	mul	2	9	10	5	18
combination	UniUni	gleichf	mul	3	7	3	3	7
combination	UniUni	gleichf	mul	4	3	8	2	3
combination	UniUni	gleichf	mul	5	3	7	7	12
combination	UniUni	gleichf	mul	6	2	7	7	8
combination	UniUni	gleichf	mul	7	7	8	2	7
combination	UniUni	gleichf	mul	8	6	5	5	18
combination	UniUni	gleichf	mul	9	2	5	5	4
combination	UniUni	gleichf	mul	10	2	9	3	8
combination	UniUni	gleichf	mul	11	2	9	3	4
combination	UniUni	gleichf	mul	12	2	7	7	12
combination	UniUni	gleichf	mul	13	5	3	3	5
combination	UniUni	gleichf	mul	14	7	8	8	7
combination	UniUni	gleichf	mul	15	7	2	2	7
combination	UniUni	gleichf	mul	16	6	7	7	6
combination	UniUni	gleichf	mul	17	10	7	7	10
combination	UniUni	gleichf	mul	18	2	3	3	2
combination	UniUni	gleichf	mul	19	9	10	2	9
combination	UniUni	gleichf	mul	20	3	8	8	3
combination	UniUni	gleichf	mul	21	3	7	7	3
combination	UniUni	gleichf	mul	22	5	8	4	5
combination	UniUni	gleichf	mul	23	5	18	9	10
combination	UniUni	gleichf	mul	24	17	6	6	17
combination	UniUni	gleichf	mul	25	6	5	5	6
